Sku,Each Locations,Case Pick Locations,Reserve Locations,Unit Quantity,Case Pick Quantity,Reserve Quantity,Units To Be Picked Quantity,Case Pick To Be Picked Quantity,Reserve To Be Picked Quantity,Unit Replenishment Quantity,Case Pick Replenishment Quantity,Standard Pack Quantity,Packs Per Case,Standard Case Quantity,Packs Per Layer,Layers,Case Pick Maximum,Case Pick Minimum,Unit Maximum,Unit Minimum,Put Away Zone,Active Country Of Origin,Reserve Country Of Origin
PA4986,56-243E,,"02-390I, 03-027A, 03-032E",7,,"36, 49, 18",0,,"0, 0, 0",0,,6,75,450,25,3,,,12,6,RS2,GB,"GB, GB, GB"
PA4987,56-402E,,17-125C,6,,77,0,,0,0,,6,125,750,25,5,,,12,6,RS8,GB,GB
PA4991,,68-012A,"18-467-1-2, 18-467-2-2, 64-094A",,259,"77, 128, 512",,0,"1, 0, 0",,0,1,128,128,32,4,,,,,VNA,TW,"TW, TW, TW"
PA4997,51-486C,02-307-2-2,"09-474-5-1, 99-999Z",0,83,"15, 1",5,1,"0, 1",12,0,6,96,576,16,6,282,144,8,2,"009, RS2",CN,"CN, CN"
PA5274,,12-431-1-2,"19-141I, 19-349I, 19-469A, 42-626-1-1, 69-114A",,13,"3, 12, 18, 54, 18",,0,"0, 0, 0, 0, 0",,0,1,18,18,6,3,,,,,2DF,CN,"CN, CN, CN, CN, CN"
PA5275,,12-420-1-2,"03-035D, 03-049E, 04-025B",,47,"20, 24, 24",,0,"0, 0, 0",,0,1,60,60,30,2,,,,,2DF,CN,"CN, CN, CN"
PA5276,51-260D,,01-134C,9,,480,0,,0,0,,1,4032,4032,504,8,,,18,6,"01R, EAE, EAW",TW,TW
PA5281,,03-322-2-3,"09-446-5-2, 09-451-3-1, 19-468-5-2, 22-475-5-1",,11,"81, 87, 100, 100",,0,"0, 0, 0, 0",,0,1,100,100,20,5,13,7,,,009,TW,"TW, TW, TW, TW"
PA5282,56-216E,,"03-058D, 03-065C",7,,"45, 26",0,,"0, 0",0,,6,63,378,9,7,,,8,2,RS2,TW,"TW, TW"
PA5283,,03-318-2-3,"18-111A, 18-139C, 61-133A, 61-136A",,11,"29, 120, 120, 120",,0,"0, 0, 0, 0",,0,1,200,200,8,25,13,7,,,009,TW,"TW, TW, TW, TW"
PA5289,,06-119-2-3,"09-426-3-1, 09-430-1-2, 17-448-2-1, 17-450-2-1",,8,"5, 90, 82, 85",,4,"5, 0, 4, 0",,9,1,90,90,18,5,18,9,,,009,DE,"DE, DE, DE, DE"
PA5303,,80-175B,"16-456-1-1, 16-460-3-2, 46-673-1-1, 53-654-1-1",,1,"8, 8, 36, 28",,0,"0, 0, 0, 0",,0,1,8,8,4,2,,,,,2DF,MX,"MX, MX, MX, MX"
PA5306,55-205E,,"02-422A, 04-070B, 04-091C, 04-093C, 64-106A",8,,"40, 40, 40, 1, 40",0,,"0, 0, 0, 0, 0",0,,6,66,396,11,6,,,14,8,009,CN,"CN, CN, CN, CN, CN"
PA5308,57-445A,,"64-108A, 82-127A",9,,"48, 4",0,,"0, 0",0,,6,6,36,2,3,,,8,2,1D1,,
PA5309,57-265D,13-415-5-1,"03-105F, 04-057D, 04-101D",8,0,"11, 16, 14",0,0,"0, 0, 0",0,0,6,18,108,6,3,108,54,8,2,2DF,,
PA5310,,68-045A,"61-136A, 64-104A",,1422,"500, 400",,1,"0, 0",,0,1,500,500,20,25,,,,,1D1,TW,"TW, TW"
PA5311,03-906-3-1,06-173-2-6,"09-403-5-2, 09-446-2-1, 17-025F, 19-205H",23,6,"52, 51, 13, 20",1,0,"0, 0, 0, 0",0,0,12,77,924,7,11,72,36,30,18,009,TW,"TW, TW, TW, TW"
PA5312 KIT,54-466E,,"18-136F, 18-172B",4,,"15, 29",0,,"0, 0",0,,6,32,192,8,4,,,8,2,RS8,GB,"GB, GB"
PA5314,03-909-4-2,,"16-402-3-2, 35-615-1-1",144,,"26, 306",0,,"0, 0",0,,6,72,432,18,4,,,,,VNA,TW,"TW, TW"
PA5316,"06-903-2-2, 51-274F",,02-541G,"22, 0",,52,"0, 0",,0,"0, 0",,12,294,3528,42,7,,,24,12,RS4,TW,TW
PA5317,53-420E,,"02-374I, 19-457-2-2",4,,"10, 22",0,,"0, 0",0,,6,45,270,15,3,,,8,2,RS2,GB,"GB, GB"
PA5319,03-904-1-1,06-125-1-1,99-999Z,14,56,3,0,1,0,0,0,6,80,480,16,5,960,480,37,19,005,CN,CN
PA5320,53-904-2-1,,"16-456-1-2, 16-462-3-1, 21-434-3-1, 21-466-5-1",7,,"28, 60, 37, 13",0,,"0, 0, 0, 0",0,,6,60,360,15,4,,,18,6,VNA,CN,"CN, CN, CN, CN"
PA5321,54-453D,,02-773H,7,,20,0,,0,0,,6,60,360,20,3,,,10,4,RS4,CN,CN
PA5323,,68-021A,41-695-1-1,,31,96,,0,0,,0,1,12,12,6,2,,,,,6DF,,
PA5327,05-904-3-2,03-340-1-2,"04-440-5-2, 04-442-5-1, 04-468-2-1, 04-468-3-1, 04-470-3-1, 04-476-5-1",13,201,"153, 150, 175, 175, 132, 175",0,0,"0, 0, 0, 0, 0, 0",0,0,6,175,1050,25,7,1758,528,24,12,004,TW,"CN, TW, CN, CN, TW, CN"
PA5328,03-904-5-1,,"16-454-1-1, 16-460-3-1, 22-466-5-1, 99-999Z",18,,"50, 70, 58, 2",0,,"0, 0, 0, 0",0,,6,84,504,14,6,,,20,8,VNA,KR,"KR, KR, KR, KR"
PA5330,52-239D,,01-138D,10,,11,0,,0,0,,1,504,504,56,9,,,12,6,"01R, EAE, EAW",DE,DE
PA5333,52-243D,,02-521B,14,,5,0,,0,0,,6,126,756,16,8,,,24,12,RS4,MX,MX
PA5336,,06-175-2-7,09-415-4-2,,2,121,,0,0,,0,1,84,84,42,2,6,3,,,009,DE,DE
PA5337,54-907-1-4,03-112-2-1,"09-421-4-1, 09-440-6-2, 09-443-3-2, 09-476-6-1, 21-470-5-1, 21-470-6-1",16,11,"86, 45, 224, 29, 112, 112",0,0,"0, 0, 0, 0, 0, 0",0,0,6,150,900,30,5,126,66,24,12,009,CN,"CN, CN, CN, CN, CN, CN"
PA5339,60-901-3-1,,16-406-2-1,1,,2,0,,0,0,,6,36,216,6,6,,,9,3,VNA,DE,DE
PA5341,60-909-1-2,,19-230B,11,,6,0,,0,0,,6,72,432,12,6,,,8,2,RS6,DE,DE
PA5350,60-901-2-2,,01-150B,21,,12,0,,0,0,,1,864,864,72,12,,,18,9,EAR,TW,TW
PA5353,52-229E,,"02-733B, 09-156L",22,,"2, 1",0,,"0, 0",0,,12,55,660,55,1,,,14,2,RS4,TW,"TW, TW"
PA5357,,07-166-1-2,17-114E,,25,36,,0,0,,0,1,36,36,12,3,36,18,,,008,,
PA5359,52-420E,06-141-1-2,"05-407-4-1, 05-407-4-2, 40-613-1-1",15,134,"80, 60, 540",0,0,"0, 0, 0",0,0,6,80,480,20,4,960,480,18,12,005,TW,"TW, TW, TW"
PA5364,,11-412-6-2,43-616-1-1,,6,"36, 355",,0,0,,0,1,18,18,9,2,18,9,,,2DF,,TN
PA5393,59-907-3-3,,"04-177C, 10-112L, 22-453-4-2",15,,"204, 114, 85",0,,"0, 0, 0",0,,6,280,1680,35,8,,,24,12,009,CN,"CN, CN, CN"
PA5396,,02-363-2-2,"09-415-5-1, 09-453-3-1, 19-213F, 19-478F",,13,"169, 196, 36, 51",,0,"0, 0, 0, 0",,0,1,196,196,14,14,18,9,,,009,GB,"GB, GB, GB, GB"
PA5401,,80-181B,83-112C,,2,66,,0,0,,0,1,500,500,25,20,,,,,1D1,GB,GB
PA5425,,11-464-5-1,"18-176A, 44-693-1-1",,8,"12, 60",,0,"0, 0",,0,1,12,12,6,2,12,0,,,2DF,,
PA5428,57-239D,06-143-2-1,"09-464-6-2, 17-456-2-1, 18-466-2-2, 18-468-3-1, 99-999Z",14,3,"3, 24, 24, 24, 2",0,0,"3, 0, 0, 0, 2",12,3,6,24,144,6,4,42,24,28,16,009,TW,"TW, TW, TW, TW, TW"
PA5445,,11-440-5-1,"21-474-4-1, 44-654-1-1",,14,"18, 45",,0,"0, 0",,0,1,18,18,6,3,18,9,,,2DF,CN,"CN, CN"
PA5451,,80-167C,"82-131C, 83-127B",,0,"256, 101",,0,"0, 0",,0,1,525,525,35,15,,,,,1D1,,
PA5454,,67-063A,"32-605-1-1, 32-628-1-1, 32-629-1-1",,157,"132, 132, 93",,2,"0, 0, 0",,0,1,33,33,11,3,,,,,"1D1, 2DF",,
PA5457,52-208E,80-153C,"82-127D, 84-119A, 84-122D, 84-134A, 85-109C, 85-123B",6,0,"8, 4, 8, 3, 8, 8",0,0,"0, 0, 0, 0, 0, 1",0,1,12,8,96,4,2,,,14,2,1D1,,
PA5465,,12-470-2-2,03-025F,,18,18,,0,0,,0,1,18,18,9,2,,,,,2DF,CN,CN
PA5477,,06-159-2-4,09-430-6-2,,1,118,,0,0,,0,1,180,180,12,15,6,3,,,009,DE,DE
PA5482,"04-905-4-1, 57-471D",,"14-417-5-2, 14-419-6-2, 14-421-2-1, 14-421-3-2, 20-478-5-1, 21-442-4-1","23, 24",,"36, 36, 36, 36, 6, 29","0, 0",,"0, 0, 0, 0, 0, 0","0, 0",,6,36,216,9,4,,,24,12,VNA,TW,"TW, TW, TW, TW, TW, TW"
PA5485-FN,,11-436-3-1,"17-446-4-2, 17-472-4-1",,25,"19, 32",,0,"0, 0",,0,1,32,32,16,2,32,16,,,2DF,,
PA5492,65-910-4-2,,01-162E,0,,12,0,,0,0,,1,486,486,18,27,,,8,2,EAR,DE,DE
PA5494,52-250D,,"02-637E, 02-822F",20,,"1, 18",0,,"0, 0",0,,6,175,1050,35,5,,,24,12,RS4,CN,"CN, CN"
PA5495,55-248E,,14-454-3-1,9,,6,0,,0,0,,6,65,390,13,5,,,10,4,VNA,CN,CN
PA5505,,07-162-1-1,"08-462-1-1, 40-654-1-1, 40-684-1-1",,38,"18, 252, 270",,0,"0, 0, 0",,0,1,18,18,9,2,27,9,,,008,,
PA5512,55-461E,,01-168E,0,,65,0,,0,0,,1,324,324,12,27,,,8,4,"01R, EAE, EAW",DE,DE
PA5515,,80-171C,"81-125D, 84-126D",,16,"117, 16",,0,"0, 0",,0,1,180,180,30,6,,,,,1D1,,
PA5556,,07-170-2-9,"09-415-2-2, 18-110C, 19-534A",,3,"48, 11, 36",,0,"0, 0, 0",,0,1,48,48,16,3,3,2,,,009,CN,"CN, CN, CN"
PA5580,53-442E,,"03-116A, 03-204D",3,,"18, 20",0,,"0, 0",0,,6,54,324,9,6,,,8,2,RS4,DE,"PL, DE"
PA5582,,07-124-1-2,"08-414-4-2, 08-414-5-1",,132,"90, 90",,0,"0, 0",,0,1,90,90,30,3,180,90,,,008,,
PA5583,,03-166-1-2,04-412-2-1,,145,126,,0,0,,0,1,126,126,42,3,189,63,,,004,,
PA5584,,03-374-1-1,31-607-1-1,,251,798,,1,0,,0,1,224,224,56,4,336,112,,,2DF,,
PA5585,54-246E,,01-158B,9,,10,0,,0,0,,1,700,700,20,35,,,12,6,"01R, EAE, EAW",DE,DE
PA5586,56-239E,,01-154C,7,,6,0,,0,0,,1,420,420,15,28,,,8,4,"01R, EAE, EAW",DE,DE
PA5618,,"80-155B, 80-157B",84-106D,,"0, 2",167,,"0, 0",6,,"6, 0",1,364,364,13,28,,,,,1D1,TW,TW
PA5619,58-906-1-2,,19-582E,7,,18,0,,0,0,,6,70,420,7,10,,,8,2,VNA,TW,TW
PA5620,60-908-3-3,,19-774H,4,,9,0,,0,0,,6,80,480,20,4,,,8,2,RS8,TW,TW
PA5622,55-470D,,14-450-3-2,11,,12,0,,0,0,,6,80,480,20,4,,,10,4,VNA,TW,TW
PA5623,56-232D,,03-062B,5,,8,0,,0,0,,6,40,240,10,4,,,8,2,RS2,TW,TW
PA5624,55-435D,,01-039C,6,,23,0,,0,0,,6,64,384,16,4,,,8,2,RS2,TW,TW
PA5629,55-211E,,01-083E,7,,19,0,,0,0,,6,48,288,8,6,,,8,2,RS2,TW,TW
PA5631,53-902-1-1,,18-465-5-1,3,,28,0,,0,0,,6,45,270,15,3,,,8,2,VNA,TW,TW
PA5632,55-419B,11-414-5-2,19-458-1-2,6,36,20,0,0,0,0,0,6,48,288,8,6,288,144,10,4,2DF,MA,MA
PA5633,52-430D,,"02-142B, 02-294E",2,,"14, 12",0,,"0, 0",0,,6,96,576,16,6,,,8,2,RS2,CN,"CN, CN"
PA5634,,02-309-1-2,"01-411-4-1, 01-415-3-2, 19-465-4-1, 19-475-2-1, 46-614-1-1",,72,"90, 90, 90, 90, 180",,0,"0, 0, 0, 0, 0",,0,1,90,90,30,3,135,45,,,001,,
PA5635,,67-033A,86-116A,,18,270,,0,0,,0,1,270,270,90,3,,,,,1D1,,
PA5637,53-207D,,19-701A,8,,37,0,,0,0,,6,80,480,20,4,,,12,6,RS8,,
PA5638,55-471D,,17-120E,16,,61,0,,0,0,,6,120,720,24,5,,,24,12,RS8,TW,TW
PA5650,06-908-2-2,,01-101C,10,,57,0,,0,0,,1,816,816,34,24,,,12,6,EAR,TW,TW
PA5655,,06-117-2-7,"09-412-1-1, 09-471-3-1, 09-472-3-2",,4,"90, 95, 90",,0,"0, 0, 0",,0,1,150,150,10,15,12,6,,,009,,
PA5656,,02-323-2-2,"16-458-2-1, 17-110A",,26,"123, 146",,0,"0, 0",,0,1,195,195,15,13,36,18,,,009,TW,"TW, TW"
PA5658,53-248D,,02-461I,6,,7,0,,0,0,,6,84,504,14,6,,,8,2,RS2,CN,CN
PA5659,,"12-458-3-1, 12-458-3-2","48-686-1-1, 85-135C",,"6, 20","144, 21",,"0, 0","0, 0",,"0, 0",1,27,27,3,9,,,,,2DF,TW,"TW, TW"
PA5660,61-905-4-3,,03-044C,7,,21,0,,0,0,,6,54,324,9,6,,,8,2,VNA,TW,TW
PA5661,53-229E,,15-462-1-1,8,,36,0,,0,0,,6,176,1056,16,11,,,8,2,VNA,TW,TW
PA5662,53-443E,,01-105E,7,,50,0,,0,0,,6,125,750,25,5,,,8,2,RS2,TW,TW
PA5665,,06-123-2-5,17-159D,,4,69,,0,0,,0,1,96,96,16,6,6,3,,,009,PL,PL
PA5666,54-217E,,02-357A,7,,10,0,,0,0,,6,72,432,12,6,,,8,2,RS2,TW,TW
PA5669,"05-902-5-1, 56-439D",06-159-2-5,"09-405-1-1, 19-758A, 64-092A","7, 0",5,"52, 52, 44","0, 0",1,"0, 0, 0","0, 0",0,6,60,360,12,5,36,18,12,6,009,MA,"MA, MA, MA"
PA5678,53-213E,,01-148A,9,,256,0,,0,0,,1,576,576,12,48,,,12,6,"01R, EAE, EAW",TW,TW
PA5679,54-455D,02-347-1-1,"01-447-5-1, 01-447-6-1, 42-608-1-1",12,68,"72, 48, 216",0,8,"0, 0, 0",0,0,6,72,432,12,6,648,216,16,10,001,TW,"TW, TW, TW"
PA5683,55-439D,,17-194C,6,,40,0,,0,0,,6,112,672,16,7,,,8,2,RS8,TW,TW
PA5689,54-200D,11-414-6-1,"17-143F, 18-456-4-1, 18-456-4-2, 99-999Z",1,13,"10, 18, 17, 1",0,0,"0, 0, 0, 1",6,0,6,18,108,6,3,108,0,8,2,2DF,TW,"TW, TW, TW, TW"
PA5690,60-908-4-3,,"17-107B, 17-159A, 19-749D",11,,"63, 21, 21",0,,"0, 0, 0",0,,6,63,378,9,7,,,12,6,RS8,TW,"TW, TW, TW"
PA5691,52-253E,,"17-116F, 17-167D",5,,"76, 53",0,,"0, 0",0,,6,84,504,12,7,,,8,2,RS8,TW,"TW, TW"
PA5694,60-904-3-3,07-128-2-5,"09-437-5-2, 19-509I",1,3,"132, 8",0,0,"1, 0",6,0,6,63,378,9,7,30,18,8,2,009,TW,"TW, TW"
PA5697,,"80-165B, 80-171B",85-110C,,"0, 2",321,,"0, 0",3,,"3, 0",1,420,420,15,28,,,,,1D1,TW,TW
PA5698,52-201E,,19-606A,16,,66,0,,0,0,,6,144,864,16,9,,,18,12,RS8,TW,TW
PA5700,03-902-5-1,06-127-2-8,09-415-2-1,12,4,76,1,1,4,12,4,12,110,1320,22,5,84,48,24,12,009,TW,TW
PA5712,,80-171A,"61-084A, 86-120A",,0,"103, 182",,0,"0, 2",,2,1,308,308,11,28,,,,,1D1,TW,"TW, TW"
PA5713,"52-429C, 54-438E",,01-157F,"2, 3",,302,"0, 0",,0,"0, 0",,1,560,560,14,40,,,4,2,"01R, EAE, EAW",TW,TW
PA5714,53-465E,,19-476-5-2,3,,79,0,,0,0,,6,168,1008,24,7,,,8,2,VNA,TW,TW
PA5715,51-260F,,01-149F,4,,474,0,,0,0,,1,1440,1440,120,12,,,8,4,"01R, EAE, EAW",TW,TW
PA5716,51-274E,,01-182C,2,,457,0,,0,0,,1,1760,1760,22,80,,,4,2,"01R, EAE, EAW",TW,TW
PA5717,51-284B,,01-139E,6,,502,0,,0,0,,1,1300,1300,25,52,,,8,4,"01R, EAE, EAW",TW,TW
PA5718 KIT,51-292E,,01-161A,2,,287,1,,6,6,,1,1248,1248,26,48,,,8,2,"01R, EAE, EAW",TW,TW
PA5719,51-278E,,01-194C,6,,445,0,,0,0,,1,4608,4608,48,96,,,8,4,"01R, EAE, EAW",TW,TW
PA5721,54-257E,,01-159F,2,,486,0,,0,0,,1,2340,2340,26,90,,,14,2,"01R, EAE, EAW",TW,TW
PA5722,56-251B,,15-460-2-1,5,,76,0,,0,0,,6,100,600,20,5,,,8,2,VNA,TW,TW
PA5723,54-427E,,02-182F,19,,51,0,,0,0,,6,196,1176,28,7,,,20,14,RS2,TW,TW
PA5724 FOAM,60-906-1-3,,82-122B,4,,30,0,,0,0,,6,504,3024,56,9,,,8,2,1D1,TW,TW
PA5725,60-908-1-4,,17-134C,2,,49,0,,0,0,,6,65,390,13,5,,,8,2,RS8,TW,TW
PA5726,54-464E,,01-156A,1,,453,0,,0,0,,1,1120,1120,14,80,,,4,2,"01R, EAE, EAW",TW,TW
PA5727,54-420E,,01-145F,4,,372,0,,0,0,,1,1980,1980,660,3,,,14,2,"01R, EAE, EAW",TW,TW
PA5728,55-901-5-3,,02-158B,5,,20,0,,0,0,,6,120,720,20,6,,,8,2,RS2,TW,TW
PA5728 FOAM,"52-433D, 54-402E",,84-117C,"5, 6",,63,"0, 0",,0,"0, 0",,6,280,1680,56,5,,,8,2,1D1,TW,TW
PA5729,57-905-5-2,,17-145D,4,,27,0,,0,0,,6,60,360,15,4,,,8,2,VNA,TW,TW
PA5732,54-254E,,18-473-3-1,5,,68,0,,0,0,,6,150,900,10,15,,,8,2,VNA,TW,TW
PA5733,52-232C,,12-119M,7,,17,0,,0,0,,6,96,576,16,6,,,8,2,RS8,PL,PL
PA5734,,06-111-2-8,82-126A,,4,168,,0,0,,0,1,280,280,8,35,5,3,,,009,TW,TW
PA5735,,11-436-5-1,"17-468-4-1, 17-468-5-2",,17,"36, 36",,0,"17, 0",,17,1,36,36,12,3,36,18,,,2DF,,
PA5737 KIT,53-477A,,"16-475-1-2, 16-478-3-2",6,,"23, 30",0,,"0, 0",0,,6,25,150,5,5,,,8,2,VNA,TW,"TW, TW"
PA5738,51-466E,,18-041F,5,,47,0,,0,0,,6,140,840,28,5,,,8,2,RS6,TW,TW
PA5751,,12-403-4-1,35-632-1-1,,0,104,,0,0,,0,1,18,18,9,2,,,,,2DF,,
PA5753,57-901-1-2,,17-110D,5,,51,0,,0,0,,6,64,384,16,4,,,8,2,RS8,TW,TW
PA5762,,03-354-1-2,"04-420-2-1, 04-454-5-2, 46-626-1-1",,27,"27, 27, 96",,0,"0, 0, 0",,0,1,27,27,9,3,41,14,,,004,,
PA5765,54-447E,,"02-190A, 14-452-3-1",5,,"56, 58",0,,"0, 0",0,,6,80,480,20,4,,,8,2,RS2,CN,"CN, CN"
PA5768,54-439E,11-472-3-1,"42-615-1-1, 99-999Z",5,75,"22, 1",0,0,"0, 1",6,0,6,84,504,12,7,504,252,14,8,2DF,TW,"TW, TW"
PA5770,54-465E,,"18-176B, 99-999Z",0,,"2, 1",0,,"0, 1",6,,6,45,270,9,5,,,8,2,RS8,TW,"TW, TW"
PA5771,,12-453-2-1,"17-129A, 21-457-1-1",,159,"17, 160",,0,"0, 0",,0,1,160,160,8,20,,,,,2DF,TW,"TW, TW"
PA5772,60-906-5-2,,"18-159F, 19-526D",2,,"30, 24",0,,"0, 0",0,,6,60,360,12,5,,,8,2,VNA,TW,"TW, TW"
PA5773,51-208H,,83-136B,2,,67,0,,0,6,,6,189,1134,63,3,,,14,2,1D1,TW,TW
PA5774,57-435E,,"01-037D, 02-173C",8,,"33, 26",0,,"0, 0",0,,6,60,360,12,5,,,12,6,RS2,TW,"TW, TW"
PA5792,,03-156-2-9,"09-473-4-2, 09-475-3-2, 18-134B",,10,"103, 312, 125",,0,"0, 0, 0",,0,1,216,216,12,18,15,8,,,009,,
PA602,58-904-5-2,03-166-1-1,"04-410-6-2, 04-412-6-2, 04-458-5-2, 04-476-3-2, 52-647-1-1",5,31,"32, 32, 24, 27, 256",0,0,"0, 0, 0, 0, 0",0,0,6,32,192,8,4,288,96,10,4,004,MX,"MX, MX, MX, MX, MX"
PA604,56-903-2-2,,"11-041M, 17-019E",7,,"16, 2",0,,"0, 0",0,,6,32,192,8,4,,,12,6,VNA,MX,"MX, MX"
PA607,61-907-4-2,,04-088D,2,,6,0,,0,0,,6,32,192,8,4,,,8,2,VNA,MX,MX
PA612,61-907-3-3,,02-318H,4,,16,0,,0,0,,6,45,270,9,5,,,8,2,VNA,MX,MX
PA615,57-253D,11-424-4-2,"17-468-3-2, 18-474-1-2",17,18,"17, 31",1,0,"0, 0",0,0,6,32,192,8,4,192,96,25,13,2DF,MX,"MX, MX"
PA618,,11-424-1-1,18-144A,,28,42,,0,0,,0,1,48,48,16,3,48,24,,,2DF,,
PA618 FOAM,54-403E,,04-140B,6,,38,0,,0,0,,6,56,336,8,7,,,8,2,2DF,,
PA618-S,,06-155-1-2,"--D-5, 05-455-2-1, 05-469-3-2, 51-689-1-1",,37,"48, 48, 48, 360",,2,"48, 48, 0, 0",,48,1,48,48,16,3,96,48,,,005,,
PA621,60-902-4-1,,19-246A,8,,16,0,,0,0,,6,36,216,9,4,,,12,6,VNA,MX,MX
PA625,56-909-3-2,,01-033C,8,,12,0,,0,0,,6,18,108,6,3,,,10,4,RS2,MX,MX
PA631,57-269D,,"61-096A, 61-135A, 82-136A, 85-119C",5,,"8, 5, 3, 5",0,,"0, 0, 0, 0",0,,6,8,48,4,2,,,8,2,1D1,MX,"MX, MX, MX, MX"
PA632,57-257D,12-450-6-2,"16-460-1-1, 17-472-3-1",8,4,"18, 18",0,0,"0, 0",0,0,6,21,126,7,3,,,12,6,2DF,MX,"MX, MX"
PA633(2),56-211E,,14-461-4-2,22,,1,0,,0,0,,12,81,972,9,9,,,36,12,VNA,,
PA634,55-422D,,"08-184L, 17-468-4-2, 21-460-2-2",6,,"25, 44, 12",0,,"0, 0, 0",0,,6,84,504,14,6,,,8,2,RS4,MX,"MX, MX, MX"
PA638,56-248D,07-124-2-4,"09-434-3-2, 17-454-1-1, 17-456-1-1, 17-463-2-1",5,4,"15, 20, 20, 20",0,0,"3, 0, 0, 0",0,3,4,20,80,5,4,28,16,8,4,009,MX,"MX, MX, MX, MX"
PA640,52-460D,,"02-790A, 10-140M",40,,"18, 33",0,,"0, 0",0,,6,84,504,14,6,,,54,27,RS4,MX,"MX, MX"
PA641,,03-116-2-8,"09-415-1-2, 09-452-2-1, 09-454-2-1",,14,"12, 168, 47",,0,"0, 0, 0",,0,1,168,168,42,4,22,11,,,009,,
PA642,55-207D,,02-350I,7,,5,0,,0,0,,6,36,216,9,4,,,8,2,RS2,MX,MX
PA643,55-223D,,"19-126C, 19-258C",23,,"7, 1",0,,"0, 0",0,,12,56,672,7,8,,,30,18,RS6,MX,"MX, MX"
PA644,51-250H,,20-470-4-2,12,,5,0,,0,0,,12,56,672,7,8,,,15,3,VNA,MX,MX
PA648,54-910-2-1,,19-605F,11,,5,0,,0,0,,6,36,216,9,4,,,12,6,VNA,MX,MX
PA650,55-241D,,"14-415-3-1, 14-415-3-2, 14-454-4-2, 15-430-5-1, 17-465-5-2, 17-465-6-1, 20-476-4-2",10,,"12, 32, 20, 32, 32, 32, 18",0,,"0, 0, 0, 0, 0, 0, 0",0,,6,32,192,9,4,,,13,7,VNA,MX,"MX, MX, MX, MX, MX, MX, MX"
PA651,55-428E,11-458-4-1,"02-693A, 04-189B",2,15,"20, 20",0,0,"0, 0",0,0,4,20,80,5,4,80,40,6,2,2DF,MX,"MX, MX"
PA652,56-432D,,"19-134C, 19-149B",8,,"8, 17",0,,"0, 0",0,,6,49,294,7,7,,,12,6,RS6,MX,"MX, MX"
PA655,,06-125-2-6,18-117E,,7,27,,0,0,,0,1,125,125,25,5,9,5,,,009,,
PA657,56-469D,"11-416-5-1, 11-416-5-2",03-137B,7,"19, 12",36,0,"0, 0",0,0,"0, 0",6,45,270,9,5,270,135,9,3,2DF,MX,MX
PA658,54-910-1-2,,02-421D,7,,10,0,,0,0,,6,48,288,12,4,,,8,2,VNA,MX,MX
PA662,55-432E,,02-533G,12,,8,0,,0,0,,6,45,270,9,5,,,14,8,RS4,,
PA677,57-903-3-3,,19-830F,7,,25,0,,0,0,,6,224,1344,28,8,,,9,3,VNA,MX,MX
PA678,55-406D,11-436-6-2,02-502F,10,44,33,0,0,0,0,0,6,84,504,14,6,504,252,14,8,2DF,MX,MX
PA680,56-413D,11-442-4-1,"01-049D, 03-059E",13,27,"16, 16",0,0,"0, 0",0,0,6,36,216,6,6,216,108,15,9,2DF,MX,"MX, MX"
PA691,60-902-3-2,,08-078M,5,,15,0,,0,0,,6,32,192,8,4,,,11,5,VNA,MX,MX
PA693,55-409D,11-462-6-2,48-647-1-1,2,3,40,0,0,0,0,0,6,12,72,4,3,72,36,8,2,2DF,MX,MX
PA696,54-908-5-3,,02-614F,8,,17,1,,1,6,,6,84,504,14,6,,,14,8,VNA,MX,MX
PA697,56-441D,,02-725G,22,,51,0,,0,0,,6,180,1080,20,9,,,24,12,RS4,,
PA699,57-903-3-2,,"19-590D, 19-773B",3,,"10, 8",0,,"0, 0",0,,6,60,360,12,5,,,8,2,VNA,MX,"MX, MX"
PB5556,,10-448-6-2,17-034E,,36,14,,0,0,,0,12,88,1056,11,8,1056,0,,,2DF,,
PE5270,56-436C,,14-470-1-1,1,,3,0,,0,0,,12,126,1512,18,7,,,14,2,VNA,DE,DE
PE5271,55-217B,,01-079C,12,,9,0,,0,0,,12,72,864,8,9,,,24,12,RS2,DE,DE
PE5272,53-443B,,19-370B,24,,4,0,,0,0,,12,135,1620,15,9,,,36,24,RS6,TW,TW
PF10,60-901-5-1,"06-223-2-1, 23-410-3-1","09-452-4-1, 09-459-5-2, 34-607-1-1",74,"20, 32","90, 152, 480",0,"0, 32","0, 0, 0",0,"0, 0",12,120,1440,15,8,360,180,30,18,009,,
PF10-CS,04-908-1-2,07-366-1-1,"08-406-4-1, 08-406-4-2, 08-476-1-2",30,108,"120, 120, 120",4,0,"0, 0, 0",0,0,12,120,1440,15,8,2160,720,36,24,008,,
PF116,55-222D,07-268-1-1,17-069A,13,16,12,0,0,0,0,0,6,28,168,7,4,252,84,16,10,008,,
PF121,55-249A,,"02-142C, 99-999Z",3,,"5, 1",0,,"0, 1",12,,12,88,1056,11,8,,,24,12,RS4,,
PF1392,56-409C,,"16-449-4-1, 17-454-3-2",23,,"30, 37",0,,"0, 2",24,,12,70,840,10,7,,,48,24,VNA,,
PF155,54-212B,,"01-089C, 08-098L",11,,"4, 11",0,,"0, 0",0,,12,30,360,6,5,,,20,8,RS2,,
PF194,56-264E,,02-301A,9,,12,0,,0,0,,6,35,210,7,5,,,9,3,RS2,,
