Sku,Each Locations,Case Pick Locations,Reserve Locations,Unit Quantity,Case Pick Quantity,Reserve Quantity,Units To Be Picked Quantity,Case Pick To Be Picked Quantity,Reserve To Be Picked Quantity,Unit Replenishment Quantity,Case Pick Replenishment Quantity,Standard Pack Quantity,Packs Per Case,Standard Case Quantity,Packs Per Layer,Layers,Case Pick Maximum,Case Pick Minimum,Unit Maximum,Unit Minimum,Put Away Zone,Active Country Of Origin,Reserve Country Of Origin
18139,56-442D,,02-522B,13,,2,0,,0,0,,6,60,360,10,6,,,12,6,RS4,CN,CN
18155,54-449D,,"11-093L, 17-107A",6,,"2, 22",0,,"0, 0",0,,6,36,216,9,4,,,12,6,RS6,,TW
18171,56-409D,,09-132L,2,,13,0,,0,0,,6,60,360,10,6,,,8,2,RS4,CN,CN
18198,53-225E,,19-266C,8,,1,0,,0,0,,6,60,360,10,6,,,12,6,RS6,CN,CN
18236,54-206D,,19-462F,10,,17,0,,0,0,,6,60,360,10,6,,,13,7,RS6,CN,CN
18245,55-454D,,07-170A,8,,3,0,,0,0,,6,60,360,10,6,,,9,3,RS4,TW,TW
18264,57-415D,,"04-165F, 04-168E, 04-181F",16,,"23, 21, 24",0,,"0, 0, 0",0,,6,24,144,6,4,,,21,9,RS4,CN,"CN, CN, CN"
18265,57-211E,,"15-450-4-2, 15-468-1-1",26,,"6, 24",0,,"0, 0",0,,6,24,144,6,4,,,36,24,VNA,CN,"CN, CN"
185-DS,51-262B,,01-190H,5,,3,0,,0,0,,1,1120,1120,56,20,,,7,4,"01R, EAE, EAW",,
19593,56-438D,,02-669H,7,,7,0,,0,0,,6,60,360,10,6,,,12,6,RS4,,
19828,54-903-4-2,,02-646D,5,,40,0,,0,0,,6,96,576,24,4,,,8,2,VNA,CN,CN
19992,56-424E,,"14-453-5-2, 14-454-6-2",11,,"60, 14",0,,"0, 0",0,,6,60,360,10,6,,,14,8,VNA,TW,"TW, TW"
19996,61-907-2-1,,02-862H,7,,3,0,,0,0,,6,24,144,6,4,,,10,4,VNA,CN,CN
19999,53-908-2-2,,19-229C,4,,3,0,,0,0,,6,24,144,6,4,,,8,2,VNA,TW,TW
200,,81-108C,"30-, , , , , 42-688-1-1, 81-117D, 85-123A",,35,"47, 75, 20, 75",,0,"0, 0, 0, 0",,0,1,75,75,25,3,,,,,1D1,,
200-15,51-258C,,01-181E,152,,715,0,,0,0,,1,10000,10000,20,500,,,160,80,"01R, EAE, EAW",,
200-21,51-400E,,01-165B,8,,19,0,,0,0,,1,364,364,52,7,,,12,6,"01R, EAE, EAW",,
200-21AL,51-404D,,01-153B,7,,20,0,,0,0,,1,2105,2105,421,5,,,12,6,"01R, EAE, EAW",,
200-21BP,51-418E,,01-192E,10,,12,0,,0,0,,1,364,364,52,7,,,12,6,"01R, EAE, EAW",,
200-DEPR KIT,56-430E,,01-184B,10,,35,0,,0,0,,1,336,336,42,8,,,18,9,"01R, EAE, EAW",,
200-GK,51-214A,,"01-173B, 01-186I",35,,"52, 120",0,,"0, 0",0,,1,10000,10000,20,50,,,40,20,"01R, EAE, EAW",,
20000,54-240E,,02-218B,7,,2,0,,0,0,,6,24,144,6,4,,,11,5,RS2,TW,TW
20001,55-437E,,02-750F,4,,3,0,,0,0,,6,60,360,10,6,,,8,2,RS4,CN,CN
20002,56-909-3-1,,16-451-3-2,6,,4,0,,0,0,,6,24,144,6,4,,,8,2,RS2,CN,CN
20003,51-476D,,"01-097D, 03-052F, 15-445-4-1, 21-474-6-2",16,,"16, 24, 24, 3",0,,"0, 0, 0, 0",0,,6,24,144,6,4,,,20,8,VNA,TW,"TW, TW, TW, TW"
20004,"52-425A, 53-401D",,04-123B,"1, 6",,15,"0, 0",,0,"0, 0",,6,24,144,6,4,,,9,3,RS4,TW,TW
20005,57-412D,,"15-432-1-1, 15-433-1-2, 15-442-3-2, 15-442-4-2",14,,"16, 24, 24, 24",1,,"0, 0, 0, 0",0,,6,24,144,6,4,,,20,8,VNA,CN,"CN, CN, CN, CN"
20006,52-404E,,02-694D,4,,5,0,,0,0,,6,40,240,20,2,,,8,2,RS4,,
20007,52-401E,,04-157C,11,,7,0,,0,0,,6,40,240,20,2,,,9,3,RS4,TW,TW
20008,52-215C,,16-467-2-1,4,,2,0,,0,0,,6,40,240,8,5,,,12,6,VNA,CN,CN
20010,52-229B,,02-522C,9,,1,0,,0,0,,6,144,864,24,6,,,12,6,RS4,CN,CN
20011,56-902-5-1,,02-702B,6,,4,0,,0,0,,6,24,144,6,4,,,12,6,RS4,MX,TW
20012,52-227A,,02-529B,8,,7,0,,0,0,,6,40,240,20,2,,,12,6,RS4,TW,TW
20013,52-193A,,02-533C,2,,6,0,,0,0,,6,60,360,10,6,,,10,4,RS4,TW,TW
20014,52-402E,,01-127B,7,,19,0,,0,0,,6,30,180,10,3,,,12,6,RS4,TW,TW
20015,52-442E,,02-537C,1,,3,0,,0,0,,6,90,540,18,5,,,16,10,RS4,TW,TW
20016,52-256D,,"19-374F, 19-469F",8,,"7, 3",0,,"0, 0",0,,6,24,144,6,4,,,14,8,RS6,TW,"TW, TW"
20017,56-404E,,"01-118B, 04-153D",9,,"24, 11",0,,"0, 0",0,,6,24,144,6,4,,,10,4,RS4,TW,"TW, TW"
